ths,thr,alfa,n,w2,alfa2,n2,Row
0.580281851,5.63322E-16,0.002356309,1.333389125,0.413304321,0.036409762,3.729490087,OT_1
0.661383198,4.05957E-16,0.002756816,1.346935903,0.470247492,0.058543009,3.57334057,OT_2
