Sample_ID,Analysis_Run,Sample_Type,Tree_Number,Depth,TIMESTAMP,del_O,del_D
JW__T2405,LGR21-10_JWB,Soil,2,40,7/21/21 7:30,-8.673247911,6.394856355
JW__T2505,LGR21-10_JWB,Soil,2,50,7/21/21 7:30,-8.415929007,58.24166859
JW__T2605,LGR21-10_JWB,Soil,2,60,7/21/21 7:30,-9.122821115,31.80322923
JW__T3001,LGR21-10_JWB,Soil,3,0,7/8/21 7:45,75.127924,-47.77877851
JW__T3101,LGR21-10_JWB,Soil,3,10,7/8/21 7:45,81.42669145,-70.67171923
JW__T3201,LGR21-10_JWB,Soil,3,20,7/8/21 7:45,38.78527174,-5.662212932
JW__T3301,LGR21-10_JWB,Soil,3,30,7/8/21 7:45,-10.22465817,253.3781711
JW__T3401,LGR21-10_JWB,Soil,3,40,7/8/21 7:45,-8.400400695,237.8026294
JW__T3501,LGR21-10_JWB,Soil,3,50,7/8/21 7:45,0.967512875,135.0648956
JW__T3601,LGR21-10_JWB,Soil,3,60,7/8/21 7:45,-2.852965061,9.176458081
JW__T3002,LGR21-10_JWB,Soil,3,0,7/11/21 7:40,73.69237028,-55.80333774
JW__T3102,LGR21-10_JWB,Soil,3,10,7/11/21 7:40,63.95141117,-80.510803
JW__T3202,LGR21-10_JWB,Soil,3,20,7/11/21 7:40,13.66720236,4.553199805
JW__T3302,LGR21-10_JWB,Soil,3,30,7/11/21 7:40,-11.4803694,195.6417128
JW__T3402,LGR21-10_JWB,Soil,3,40,7/11/21 7:40,-5.278579341,172.028795
JW__T3502,LGR21-10_JWB,Soil,3,50,7/11/21 7:40,-11.09108044,124.8488023
JW__T3602,LGR21-10_JWB,Soil,3,60,7/11/21 7:40,-11.27727265,-7.417896965
JW__T3003,LGR21-10_JWB,Soil,3,0,7/14/21 7:30,38.28704213,-51.70373464
JW__T3103,LGR21-10_JWB,Soil,3,10,7/14/21 7:30,33.16349924,-70.51998995
JW__T3203,LGR21-10_JWB,Soil,3,20,7/14/21 7:30,2.556083912,16.87368603
JW__T3303,LGR21-10_JWB,Soil,3,30,7/14/21 7:30,-12.68532632,187.1768849
JW__T3403,LGR21-10_JWB,Soil,3,40,7/14/21 7:30,-11.18174272,192.608675
JW__T3503,LGR21-10_JWB,Soil,3,50,7/14/21 7:30,-8.877056102,154.327587
JW__T3603,LGR21-10_JWB,Soil,3,60,7/14/21 7:30,-13.30369789,28.83056175
JW__T3004,LGR21-10_JWB,Soil,3,0,7/18/21 7:30,-10.47179188,163.5248503
JW__T3104,LGR21-10_JWB,Soil,3,10,7/18/21 7:30,-13.56632973,198.2097731
JW__T3204,LGR21-10_JWB,Soil,3,20,7/18/21 7:30,23.89068161,-49.58897902
JW__T3304,LGR21-10_JWB,Soil,3,30,7/18/21 7:30,1.437716645,-27.38002339
JW__T3404,LGR21-10_JWB,Soil,3,40,7/18/21 7:30,-0.030053337,26.8896883
JW__T3504,LGR21-10_JWB,Soil,3,50,7/18/21 7:30,-1.067256658,66.66248711
JW__T3604,LGR21-10_JWB,Soil,3,60,7/18/21 7:30,0.744240776,-14.84595628
JW__T3005,LGR21-10_JWB,Soil,3,0,7/21/21 7:50,-4.822265379,87.64629672
JW__T3105,LGR21-10_JWB,Soil,3,10,7/21/21 7:50,-0.573389503,40.20967512
JW__T3205,LGR21-10_JWB,Soil,3,20,7/21/21 7:50,4.098583149,-39.53416287
JW__T3305,LGR21-10_JWB,Soil,3,30,7/21/21 7:50,-6.112950674,-35.61121963
JW__T3405,LGR21-10_JWB,Soil,3,40,7/21/21 7:50,-4.688736713,-20.754334
JW__T3505,LGR21-10_JWB,Soil,3,50,7/21/21 7:50,-4.005091428,-34.12369197
JW__T3605,LGR21-10_JWB,Soil,3,60,7/21/21 7:50,-10.09418955,-52.01760166
JW__T4001,LGR21-10_JWB,Soil,4,0,7/8/21 8:15,67.32121255,-61.78447047
JW__T4101,LGR21-10_JWB,Soil,4,10,7/8/21 8:15,85.97897583,-80.27610351
JW__T4201,LGR21-10_JWB,Soil,4,20,7/8/21 8:15,27.73783727,-82.83479256
JW__T4301,LGR21-10_JWB,Soil,4,30,7/8/21 8:15,-12.30282762,235.4219285
JW__T4401,LGR21-10_JWB,Soil,4,40,7/8/21 8:15,-14.10391663,57.84703552
JW__T4501,LGR21-10_JWB,Soil,4,50,7/8/21 8:15,-16.80033996,16.07425966
JW__T4601,LGR21-10_JWB,Soil,4,60,7/8/21 8:15,-10.32351503,56.54155079
JW__T4002,LGR21-10_JWB,Soil,4,0,7/11/21 8:15,72.90185895,-62.20089661
JW__T4102,LGR21-10_JWB,Soil,4,10,7/11/21 8:15,67.20120086,-87.79841199
JW__T4202,LGR21-10_JWB,Soil,4,20,7/11/21 8:15,10.46262323,-2.533535463
JW__T4302,LGR21-10_JWB,Soil,4,30,7/11/21 8:15,-6.959915065,171.3098017
JW__T4402,LGR21-10_JWB,Soil,4,40,7/11/21 8:15,-10.04277195,158.2510667
JW__T4502,LGR21-10_JWB,Soil,4,50,7/11/21 8:15,-11.86005239,150.4222942
JW__T4602,LGR21-10_JWB,Soil,4,60,7/11/21 8:15,-8.107650343,-10.31448838
JW__T4003,LGR21-10_JWB,Soil,4,0,7/14/21 8:15,36.55217016,-27.89808492
JW__T4103,LGR21-10_JWB,Soil,4,10,7/14/21 8:15,59.57570964,-61.42701818
JW__T4203,LGR21-10_JWB,Soil,4,20,7/14/21 8:15,24.91107355,-1.473968074
JW__T4303,LGR21-10_JWB,Soil,4,30,7/14/21 8:15,-1.949934126,171.6973081
JW__T4403,LGR21-10_JWB,Soil,4,40,7/14/21 8:15,-5.490083023,133.6602771
JW__T2104,LGR21-10_JWB,Soil,2,10,7/18/21 7:00,-5.359162349,18.37492401
JW__T2204,LGR21-10_JWB,Soil,2,20,7/18/21 7:00,6.391696673,-30.77976087
JW__T2304,LGR21-10_JWB,Soil,2,30,7/18/21 7:00,3.095524601,-9.545337301
JW__T2404,LGR21-10_JWB,Soil,2,40,7/18/21 7:00,-7.092035998,147.2462928
JW__T1V3,LGR21-10_JWC,Plant,1,NaN,7/14/21 14:30,-1.813730706,-39.53246632
JW__T1V4,LGR21-10_JWC,Plant,1,NaN,7/18/21 15:40,-9.130479213,20.22602925
JW__T1V5,LGR21-10_JWC,Plant,1,NaN,7/21/21 15:10,-11.56911784,12.10737814
JW__T2V3,LGR21-10_JWC,Plant,2,NaN,7/14/21 14:45,9.512258097,28.17805229
JW__T2V4,LGR21-10_JWC,Plant,2,NaN,7/18/21 15:50,7.663146016,51.00779074
JW__T2V5,LGR21-10_JWC,Plant,2,NaN,7/21/21 15:20,-8.329553571,43.40551864
JW__T3V3,LGR21-10_JWC,Plant,3,NaN,7/14/21 14:55,16.53290876,43.39468931
JW__T3V4,LGR21-10_JWC,Plant,3,NaN,7/18/21 15:55,16.54612608,57.35109979
JW__T3V5,LGR21-10_JWC,Plant,3,NaN,7/21/21 15:30,-7.443062979,52.07949928
JW__T4V2,LGR21-10_JWC,Plant,4,NaN,7/11/21 16:00,10.02638406,49.48155408
JW__T4V3,LGR21-10_JWC,Plant,4,NaN,7/14/21 15:00,2.59781035,60.15729518
JW__T4V4,LGR21-10_JWC,Plant,4,NaN,7/18/21 16:05,5.266621975,55.86081576
JW__T4V5,LGR21-10_JWC,Plant,4,NaN,7/21/21 15:40,-11.23353209,43.94917234
JW__T5V2,LGR21-10_JWC,Plant,5,NaN,7/11/21 16:10,8.301912646,43.13797187
JW__T5V3,LGR21-10_JWC,Plant,5,NaN,7/14/21 15:10,-1.061769544,58.65194391
JW__T5V4,LGR21-10_JWC,Plant,5,NaN,7/18/21 16:10,5.829312275,38.73634186
JW__T5V5,LGR21-10_JWC,Plant,5,NaN,7/21/21 15:50,-7.496916881,58.81904644
JW__T6V2,LGR21-10_JWC,Plant,6,NaN,7/11/21 16:20,5.970973961,41.23672641
JW__T6V3,LGR21-10_JWC,Plant,6,NaN,7/14/21 15:20,0.481736179,55.61983208
JW__T6V4,LGR21-10_JWC,Plant,6,NaN,7/18/21 16:15,4.735026655,45.53594464
JW__T6V5,LGR21-10_JWC,Plant,6,NaN,7/21/21 15:55,-6.777009828,29.77301938
JW__T4503,LGR21-10_JWC,Soil,4,50,7/14/21 8:15,-0.694735239,50.83616477
JW__T4603,LGR21-10_JWC,Soil,4,60,7/14/21 8:15,0.809118524,-15.55528806
JW__T4004,LGR21-10_JWC,Soil,4,0,7/18/21 8:00,-10.71031487,155.8107334
JW__T4104,LGR21-10_JWC,Soil,4,10,7/18/21 8:00,4.018667143,-34.24359044
